linear_b,greek_cognates,dubious,explanation,translation
pi-ri-je-te-re,πριετερες,,Second word from the pair. Removed accent from 'έ'.,ivory worker (πρίω= to saw)
pi-ri-e-te-si,πριετεσι,,Third word from the pair. Removed accent from 'έ'.,ivory worker (πρίω= to saw)
pi-ro-we-ko,φιλοfεργος,,Converted digamma 'F' to lowercase 'f'.,personal name
pi-*82,πισφα|πισσια,,Multiple cognates separated by '/'. Removed accent from 'ί'.,place name
pi-sa-wa-ta,πισfατας,,Converted digamma 'F' to lowercase 'f'.,personal name
pi-ta-ke-u,πιτακευς,,Removed accent from 'ύ'.,personal name
pi-ti-ryo-we-sa,πτιλιοfεσσα|πτιλον,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,furnished with feathers? (πτίλον= feather)
po-da-ko,ποδαργος,,Removed accent from 'ό'.,personal/ animal name
po-de,ποδει|πους,,First word from the pair. No changes needed as it has no accents or special characters.,with legs
po-pi,ποφι,,Second word from the pair. No changes needed as it has no accents or special characters.,with legs
po-ki-ro-nu-ka,ποικιλωνυχα,,Removed accent from 'ώ'.,kind of decoration (compare with 'leukonyha')
po-me,ποιμην,,First word from the triple. No changes needed as it has no accents or special characters.,shepherd
po-me-no,ποιμενος,,Second word from the triple. No changes needed as it has no accents or special characters.,shepherd
po-me-ne,ποιμενει,,Third word from the triple. No changes needed as it has no accents or special characters.,shepherd
po-ni-ke,φοινικει,,Removed accent from 'ί'.,decorated with a griffin or palm trees
po-ni-ke-a,φοινικια,,First variant without the optional 'j'. Removed accent from 'ί'.,cnmson
po-ni-ke-ja,φοινικια,,Second variant with the optional 'j'. Removed accent from 'ί'.,cnmson
po-ni-ki-ja,φοινικια,,Word from the pair. Removed accent from 'ί'.,cnmson
po-ni-ki-jo,φοινικιος,,Word from the pair. Removed accent from 'ί'.,cnmson
po-pu-re-ja,πορφυρεια,,The Linear B 'po-pu-re-ja' corresponds to Greek 'πορφυρεια' (purple).,purple (fem.)
po-pu-ryo,πορφυριων,,The Linear B 'po-pu-ryo' corresponds to Greek 'πορφυριων'. Removed accent from 'ί'.,personal name
po-qe-wi-a,φορβειαι,,Converted digamma 'F' to lowercase 'f'. Removed accents. Included both forms.,halters
po-re-na,φορηναι,,Removed accent from 'ή'. The Linear B 'po-re-na' corresponds to Greek 'φορηναι'.,attendees in sacrificial ceremonιes (φέρομαι=  to be brought)
po-ri-wo,πολιfος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,personal name
po-ro,πωλος|πωρος,,Multiple possible cognates. Removed accent from 'ώ'. The Linear B 'po-ro' can correspond to either 'πωλος' (young horse) or 'πωρος' (porous stone (kind of marble)).,young horse/porous stone (kind of marble)
po-ro-du-ma-te,προδυματες,,No changes needed as it has no accents or special characters.,family groups? (see also 'dymates')
po-ro-e-ke,προεχης,,Removed accent from 'έ'.,(table) fitting against the wall
po-ro-ko-re-te-re,προκορετερες,,Removed accent from 'έ'.,official title/ 'vice- mayors' (see also 'koreter')
po-ro-te-u,πρωτευς,,The Linear B 'po-ro-te-u' corresponds to Greek 'πρωτευς'. Removed accent from 'ύ'.,personal name
po-ro-u-te-u,πλουτευς,,First word from the pair. Removed accent from 'έ'.,personal name
po-ro-u-te-we,πλουτεfες,,Second word from the pair. Removed accent from 'έ'.,personal name
po-ro-u-te-wo,πλουτευς,,Third word from the pair. Removed accent from 'έ'.,personal name
po-ro-wi-to,πλωfιστος,,Removed parentheses. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,month name
po-ro-wi-to-jo,πλωfιστοιο,,Removed parentheses. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,month name
po-ru-ka-to,πολυκαστος,,Removed accent from 'ύ'.,personal name
po-ru-po-de,πολυποδει|πολυπους,,Multiple possible cognates. Removed accents from 'ύ'. The Linear B 'po-ru-po-de' can correspond to either 'πολυποδει' or 'πολυπους'.,(decorated with an) octopus
po-ru-qo-ta,πολυβοτας,,Removed accent from 'ό'. The Linear B 'po-ru-qo-ta' corresponds to Greek 'πολυβοτας'.,personal name
po-se-da-o,ποσειδων,,First word from the pair. Removed accent from 'ά'. The Linear B 'po-se-da-o' corresponds to Greek 'ποσειδαων'.,god's  name (>Poseidon)
po-se-da-o-ne,ποσειδονι,,Second word from the pair. Removed accent from 'ό'. The Linear B 'po-se-da-o-ne' corresponds to Greek 'ποσειδαονει'.,god's  name (>Poseidon)
po-se-da-o-ni,ποσειδονι,,Third word from the pair. Removed accent from 'ό'. The Linear B 'po-se-da-o-ni' corresponds to Greek 'ποσειδαονι'.,god's  name (>Poseidon)
po-si,ποσι,,No changes needed as it has no accents or special characters.,up/on
po-si-da-e-ja,ποσιδαιεια,,Removed accent from 'έ'.,goddess' s name
po-si-da-e-we,ποσιδαεfες,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ά'.,cult association related to 'Poseidaon'
po-si-da-i-je-u,ποσιδαιγευς,,First word from the pair. Removed accent from 'εύ'.,priest of 'Poseidaon'
po-si-da-i-je-u-si,ποσιδαιγευς,,Second word from the pair. Removed accent from 'εύ'.,priest of 'Poseidaon'
po-si-da-i-jo,ποσιδαιον,,First word from the pair. Removed accent from 'ί'.,place dedicated to 'Poseidaon'
po-si-da-i-jo-de,ποσιδαιον,,Second word from the pair. Removed accent from 'ί'.,place dedicated to 'Poseidaon'
po-si-ke-te-re,οικετης,,Removed accent from 'έ'. Included the word within parentheses. The Linear B 'po-si-ke-te-re' corresponds to Greek 'ποσικετερες' and 'οικετης'.,dweller/house servant ('immigrants?')
po-so-pe-re-i,ψωφρει|ψωφρης,,Multiple possible cognates. Removed accents from 'ώ'.,personal name
po-so-ra-ko,ψωρακος,,No changes needed.,personal name
po-so-re-ja,ψωρεια,,Removed accent from 'ε'. The Linear B 'po-so-re-ja' corresponds to Greek 'ψωρεια'.,personal name (fem.)
po-so-ro,ψωρος,,No changes needed as it has no accents or special characters.,personal name
po-ti-ni-ja,ποτνια,,No changes needed as it has no accents or special characters.,goddess/ 'beloved one'
po-ti-ni-ja-we-ja,ποτνιαfεια,,First word from the multiple words separated by '/'. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,person related/ dedicated to 'potnia'
po-ti-ni-ja-we-jo,ποτνιαfειος,,Second word from the multiple words separated by '/'. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,person related/ dedicated to 'potnia'
po-ti-ni-ja-we-i-jo,ποτνιαfειος,,Third word from the multiple words separated by '/'. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,person related/ dedicated to 'potnia'
po-ti-ni-ja-wi-jo,ποτνιαfειος,,Third word from the multiple words separated by '/'. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,person related/ dedicated to 'potnia'
po-ti-pi,πορτιφι|πορτις,,Multiple possible cognates. Removed accent from 'ό'.,(decorated  with a) young cow
po-ti-ro,ποντιλοι,,No changes needed as it has no accents or special characters.,sailors
pu-ke-se-ro,πύξελος,,Multiple possible cognates. Removed accents from 'έ' and 'ύ'.,personal name
pu-ko-so,πυξος,,The Linear B 'pu-ko-so' corresponds to Greek 'πυξος'.,box- wood
pu-ra-so,πυρασος,,Removed accent from 'ύ'. The Linear B 'pu-ra-so' corresponds to Greek 'πυρασος'.,personal name
pu-ra-ta,πυρατας,,First word from the pair. Removed accent from 'ά'.,personal name
pu-ra-ta-o,πυρατας,,Second word from the pair. Removed accent from 'ά'.,personal name
pu-ra-u-to-ro,πυραστρον,,No changes needed as it has no accents or special characters.,"cooking vessel (>πύραστρον, πυράγρα= forceps)"
pu-ro,πυλος,,Removed accent from 'ύ'. The Linear B 'pu-ro' corresponds to Greek 'πυλος' (Pylos).,place name
phu-ke,φυγης,,No changes needed as it has no accents or special characters.,personal name
phu-ke-qi-ri,φυγεκλης,,Removed accent from 'ή'.,personal name
phu-rya-a-ke-re-u,φυλιασαγρευς,,First word from the pair. Removed capital letter and accent from 'ί'.,place name (φυλία= wild olive)
phu-rya-a-ki-ri-jo,φυλιασαγρευς,,Second word from the pair. Removed capital letter and accent from 'ί'.,place name (φυλία= wild olive)
phu-si-ja-ko,φυσιαρχος,,Removed accent from 'ί'.,personal name
phu-te,φυτευτης,,First word from the pair. The Linear B 'phu-te' corresponds to Greek 'φυτερ'.,planter
pu-te,φυτευτης,,Second word from the pair. The Linear B 'pu-te' corresponds to Greek 'φυτερ'.,planter
phu-te-re,φυτευτης,,Third word from the pair. The Linear B 'phu-te-re' corresponds to Greek 'φυτερ'.,planter
phu-te-ri-ja,φυτερια,,The Linear B 'phu-te-ri-ja' corresponds to Greek 'φυτερια'.,"planted, cultivated (related to 'ktoina'=  plots)"
pte-no,στενοι,,No changes needed. The Linear B 'pte-no' corresponds to Greek 'φτενοι'.,parts of a chariot (φτενός=    'thin')
qa-da-so,καδασος,,No changes needed. Removed accent from 'ά'.,personal name
qa-nu-wa-so,καρνυfασος,,Converted digamma 'F' to lowercase 'f'.,personal name
qa-ra,καρα,,Removed capital letter and accent from 'ά'. The Linear B 'qa-ra' corresponds to Greek 'καρα'.,place name
qa-ra-i-so,κραραισος,,Removed capital letter from 'Κ' and accent from 'ά'.,personal name
qa-ra-to-ro,σπαλαθρον,,Removed accent from 'ά'. Included both forms.,rake
qa-si-re-u,βασιλευς,κασιλευς,Removed disallowed characters '/' and '''. Removed accent from 'εύ'. Labeling κασιλευς as dubious because it is too modified compared to the effective greek cognate.,title/occupation (latter the king)
qa-si-re-wi-ja,βασιλεfια,,Converted digamma 'F' to lowercase 'f'.,of the 'kvasileus' (fem.)
qe-qi-no-me-na,γεγινωμενα,,First word from the set. Removed accent from 'έ'.,made by twisting
qe-qi-no-me-no,γεγινωμενος,,Second word from the set. Removed accent from 'έ'.,made by twisting
qe-qi-no-to,γεγινωτος|δινωτος,,Third word from the set. Included both forms.,made by twisting
qe-ra-na,κερνα,,Multiple possible cognates. Removed accent from 'έ'.,type of pot (ewer)
qe-ra-si-ja,κερασια|θηρασια,,Removed capital letter and accent from 'ί'. Included both 'κερασια' and 'θερασια' as possible cognates.,goddess's name/epithet of Artemis?
qe-re-ti-ri-jo,βλητρον,,Removed parenthesis. The Linear B 'qe-re-ti-ri-jo' corresponds to Greek 'βλητριω'.,a band or hoop (of ships)
qe-ta-ra-je-u,κετραγευς,,Removed capital letter from 'Κ'.,personal name
qe-ta-wo,κεταfος,,Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'. The Linear B 'qe-ta-wo' corresponds to Greek 'κεταfος' (Ketavos).,personal name
qe-te-a,τελθος,,First word from the pair. Removed accent from 'έ'. Discarded characters >()?;. Linear B 'qe-te-a' corresponds to Greek 'τελθος'.,due (to the gods?) (>τέλθος= debt/ payment due)
qe-te-ha,τελθος,,Second word from the pair. Removed accent from 'έ'. Discarded characters >()?;. Linear B 'qe-te-ha' corresponds to Greek 'τελθος'.,due (to the gods?) (>τέλθος= debt/ payment due)
qe-te-a,τελθος,,First word from the pair without the optional 'j'. Removed accent from 'έ'. Discarded characters >()?;. Linear B 'qe-te-a' corresponds to Greek 'τελθος'.,due (to the gods?) (>τέλθος= debt/ payment due)
qe-te-jo,τελθος,,Second word from the pair with the optional 'j'. Removed accent from 'έ'. Discarded characters >()?;. Linear B 'qe-te-jo' corresponds to Greek 'τελθος'.,due (to the gods?) (>τέλθος= debt/ payment due)
qe-to,πιθος,,The Linear B 'qe-to' corresponds to Greek 'πιθος' (a kind of pot).,a kind of pot
qe-to-ro-po-pi,πετροποφι|τετροποφι,,"Multiple possible cognates. No accents to remove, and no diacritics to handle. The Linear B 'qe-to-ro-po-pi' can correspond to either 'πετροποφι' or 'τετροποφι'.","with four legs, cattle"
qe-to-ro-we,πετρωfτεις|τετρωfτεις,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ώ'.,with four 'ears/' handles
qi-si-pe-e,ξιφεα,,Removed parentheses. The Linear B 'qi-si-pe-e' corresponds to Greek 'ξιφεε' and 'ξιφη'.,swords
qi-si-pe,ξιφα,,Removed parentheses. The Linear B 'qi-si-pe' corresponds to Greek 'ξιφεε' and 'ξιφη'.,swords
qo-o,βους,,Multiple possible cognates. No accents to remove. Included both cognates 'κροος' and 'βους'.,Οχ
qo-ro-mu-ro,βρωμυλος,,No changes needed.,place name
qo-u-ka-ra,βουκαρα,,First word from the pair. Removed accent from 'ύ'.,bull head (βους= οχ+ κάρα= head)
qo-u-ka-ra-o-i,βουκαρα,,Second word from the pair. Removed accent from 'ύ'.,bull head (βους= οχ+ κάρα= head)
qo-u-ko-ro,βουκολος,,The Linear B 'qo-u-ko-ro' corresponds to Greek 'βουκολος'.,"shepherd, cattle-driver"
qo-u-qo-ta,βουβοτης,,No changes needed as it has no accents or special characters.,"shepherd, pastor"
qo-wi-ja,κορυfια,,The Linear B 'qo-wi-ja' corresponds to Greek 'κορfια'. Converted digamma 'F' to lowercase 'f'.,divine (see also 'korfa')
ra-e-ja,λαεια,,Removed accent from 'ί'. The Linear B 'ra-e-ja' corresponds to Greek 'λαια' (made of stone). The cognate λαεια is dubious because it contains characters not accepted in Linear B.,made of stone
ra-ja,ραια,,No changes needed as it has no accents or special characters.,place name
ra-ke-da-mi-ni-jo,λακεδαιμονιος,,Removed capital letters and accents. Included both variants from the Greek cognate.,ethnic name of '>Lacedaemon'
ra-ke-u,λαχευς,,Removed accent from 'ύ'.,personal name
ra-ku-ro,λαχυρος,,First word from pair. Removed capital letter.,personal name
ra-ku-ro-jo,λαχυρος,,Second word from pair. Removed capital letter.,personal name
ra-mi-ni-ja,λαμνιαι|λημνιαι,,Removed capital letter and accent from 'ά'. Included both forms 'λαμνιαι' and 'λημνιαι'.,ethnic name of '>Lemnos?' (fem.)
ra-pa-sa-ko,λαμψακος,,Removed accent from 'ά'.,personal name
ra-pa-to-me-no,λαπατος|λαπανδος,,Removed accent from 'ά'. The Linear B 'ra-pa-to-me-no' corresponds to Greek 'λαπατος' and 'λαπανδος'.,('Λαπάτω   μηνός'= in the month of Lapatos)
ra-pi-ti-rya,ραπτρια|ραπτριαι,,First word from the pair. Removed accent from 'ά'.,seamstresses
ra-pte-ri-ja,ραπτρια|ραπτριαι,,Second word from the pair. Removed accent from 'ά'.,seamstresses
ra-qi-ti-rya,ραπτρια|ραπτριαι,,Third word from the pair. Removed accent from 'ά'.,seamstresses
ra-pte,ραπτης,,First word from the pair. No changes were needed.,"tailor, clothes- mender"
ra-pte-re,ραπτης,,Second word from the pair. No changes were needed.,"tailor, clothes- mender"
ra-su-ti-jo,λασυνθιος,,Removed capital letter and accent from 'ύ'.,ethnic name of 'Lasynthos'
ra-su-to,λασυνθος,,No changes needed as it has no accents or special characters.,place name
ra-ti-jo,λατιος,,No changes needed as it has no accents or special characters.,ethnic name of 'Lato'
ra-to,λατω,,No changes needed.,place name
ra-wa-ke-ja,λαfαγεια,,First word from the group. Converted digamma 'F' to lowercase 'f'.,belonging to the 'lafagetas'
ra-wa-ke-si-ja,λαfαγεσια,,Second word from the group. Converted digamma 'F' to lowercase 'f'.,belonging to the 'lafagetas'
ra-wa-ke-si-jo,λαfαγεσιος,,Third word from the group. Converted digamma 'F' to lowercase 'f'.,belonging to the 'lafagetas'
ra-wa-ke-si-ja-jo,λαfαγεσιαιος,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,premises of the 'lafagetas' 
ra-wa-ke-si-jo-jo,λαfαγεσιαιος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,premises of the 'lafagetas' 
ra-wa-ke-ta,λαfαγετας,,Converted digamma 'F' to lowercase 'f'.,official title (= leader of the people)
ra-wa-ra-ta,λαfρανθα,,First word from the pair. Removed capital letter and accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,place name
ra-u-ra-ta,λαfρανθα,,Second word from the pair. Removed capital letter and accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,place name
ra-wa-ra-tya,λαfρανθια,,First word from pair. Removed capital letter and accent from 'ί'. Converted digamma 'F' to lowercase 'f'.,ethnic name of 'Lavrantha'
ra-u-ra-ti-ja,λαfρανθια,,Second word from pair. Removed capital letter and accent from 'ί'. Converted digamma 'F' to lowercase 'f'.,ethnic name of 'Lavrantha'
ra-wa-ra-ti-jo,λαfρανθιος,,Third word from pair. Removed capital letter and accent from 'ί'. Converted digamma 'F' to lowercase 'f'.,ethnic name of 'Lavrantha'
ra-wa-ra-*66,,,Fourth word from pair. Removed '*' and number as they are not allowed characters.,ethnic name of 'Lavrantha'
ra-wo,λαfος|λαος,,Removed accent from 'ό'. Converted digamma 'F' to lowercase 'f'. Included both forms with and without 'f'.,people
ra-wo-do-ko,λαfοδοκος,,Converted digamma 'F' to lowercase 'f'.,personal name
ra-wo-po-no,λαfοπονος,,Converted digamma 'F' to lowercase 'f'.,personal name
re-ke-to-ro-te-ri-jo,λεχεστρωτηριον,,Removed accent from 'ή'.,religious feast
re-pe-u-ri-jo,λεπευριος,,Removed accent from 'έ'. The Linear B 're-pe-u-ri-jo' corresponds to Greek 'λεπευριος' (ethnic name of 're-pe-u ').,ethnic name of 're-pe-u '
re-po-to,λεπτον,,No changes needed as it has no accents or special characters.,"thin, fine"
re-u-ka-so,λευκασος,,No changes needed as it has no accents or special characters.,personal name
re-u-ko,λευκος,,First word from the pair. Removed accent from 'εύ'.,personal name
re-u-ko-jo,λευκοιο,,Second word from the pair. Removed accent from 'εύ'.,personal name
re-u-ko-nu-ka,λευκονυχα,,Removed accent from 'ό'. The Linear B 're-u-ko-nu-ka' corresponds to Greek 'λευκόνυχα'.,kind of decoration (for clothes)
re-u-ko-o-phu-ru,λευκοφρυς,,First word from the pair. Removed parentheses. Removed accent from 'ό'.,personal name
re-u-ko-ro-o-phu-ru,λευκοροφρυς,,Second word from the pair. Removed parentheses. Removed accent from 'ό'.,personal name
re-u-ko-to-ro,λευκτροι|λευκτρον,,Removed accent from 'έ'. The Linear B 're-u-ko-to-ro' corresponds to Greek 'λευκτροι' and 'λευκτρον' (place name).,place name
re-wo,λεfων,,First word from the triple. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,lion (implying decoration)
re-wo-pi,λεfοντφι,,Second word from the triple. Converted digamma 'F' to lowercase 'f'.,lion (implying decoration)
re-wo-te-jo,λεfοντιοις,,Third word from the triple. Converted digamma 'F' to lowercase 'f'.,lion (implying decoration)
re-wo,λεfος|λεβης,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,"kettle, caldron "
re-wo-te-re-jo,λεβηταριον,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,"kettle, caldron "
re-wo-to-ro-ko-wo,λεfοτροκορfοι,,Converted digamma 'F' to lowercase 'f'.,bath- attendants
ri-jo,ριον,,First word from the pair. No changes needed as it has no accents or special characters.,place name (= cape)
ri-jo-de,ριονδε,,Second word from the pair. No changes needed as it has no accents or special characters.,place name (= cape)
ri-me-ne,λιμενει|λιμην,,Removed accent from 'έ'.,harbor
ri-na-ko-ro,λιναγρος,,No modifications required. The Linear B 'ri-na-ko-ro' corresponds to Greek 'λιναγρος'.,(= flax gatherer )
ri-ne-ja,λινειαι,,Removed accent from 'εί'.,flax workers (fem.)
ri-no,λινον,,No changes needed as it has no accents or special characters.,flax (plant)
ro-i-ko,ροικος,,No changes needed as it has no accents or special characters.,crooked
ro-ko,λωχος,,No changes needed. The Linear B 'ro-ko' corresponds to Greek 'λωχος'.,personal name
ro-o-wa,ροοfα,,Converted digamma 'F' to lowercase 'f'.,place name
ro-u-si-je-wi-ja,λουσιεfεια|λουσιεfειαι,,Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,originating in 'Lousos' (fem.)
ro-u-si-jo,λουσιος,,No changes needed. The Linear B 'ro-u-si-jo' corresponds to Greek 'λουσιος' (ethnic name of 'Lousos').,ethnic name of 'Lousos'
ro-u-so,λουσος,,Removed accent from 'ό'. The Linear B 'ro-u-so' corresponds to Greek 'λουσος' (place name).,place name
ru-ke-wo-wo-wi-ja,λυνκεfυσfορfια,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ύ'.,place name (see also 'vorvos')
ru-ki-ti-jo,λυκινθιος,,Removed accent from 'ί'. The Linear B 'ru-ki-ti-jo' corresponds to Greek 'λυκινθιος'.,ethnic name of 'Lykinthos'
ru-ki-to,λυκινθος,,Removed capital letter from 'Λ'.,place name
ru-ko-ro,λυκορος,,First word from the pair. Removed accent from 'ύ'.,personal name
ru-ko-u-ro,λυκουρος,,Second word from the pair. Removed accent from 'ύ'.,personal name
ru-ko-wo-ro,λυκοfορος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,personal name
ru-na-so,ρυνασος,,The Linear B 'ru-na-so' corresponds to Greek 'ρυνασος' (personal name). Removed accent from 'ύ'.,personal name
ru-ra-ta,λυρατας,,First variant without the optional 'e'. Removed capital letter from 'Λ'.,player οη the lyre
ru-ra-ta-e,λυρατας,,Second variant with the optional 'e'. Removed capital letter from 'Λ'.,player οη the lyre
sa-ke-re-u,σαγρευς,,First word from the group. Removed accent from 'έ'.,personal name
sa-ke-re-we,σαγηλευς,,Second word from the group. Removed accent from 'έ'.,personal name
sa-ke-re-wo,σαγρευς|σαγηλευς,,Third word from the group. Removed accent from 'έ'.,personal name
sa-ma-ra,σαμαρα,,No changes needed as it has no accents or special characters.,place name
sa-ma-ri-wa,σαμαριfα,,Converted digamma 'F' to lowercase 'f'.,place/ethnic name of  'Samara'?
sa-pa-ke-te-ri-ja,σφακτηριαι|σφακτρια,,Multiple possible cognates. Removed accents from 'ί'. The Linear B 'sa-pa-ke-te-ri-ja' can correspond to either 'σφακτηριαι' or 'σφακτρια'.,animals for ritual slaughter 
sa-pi-de,σαρποι,,No changes needed as it has no accents or special characters.,boxes
sa-ra-pe-da,σραπεδας,,Removed capital letter from 'Σ'.,god's epithet ('Srapedas Poseidaon')
sa-ri-nu-wo-te,σαλινουfοντει,,First word from the pair. Removed accent from 'όν'. Converted digamma 'F' to lowercase 'f'.,place name
se-ri-no-te,σελινοφοντει,,"Second word from the pair, without the optional wo syllable. Removed accent from 'όν'. Converted digamma 'F' to lowercase 'f'.",place name
se-ri-no-wo-te,σελινοφοντει,,"Second word from the pair, including the optional wo syllable. Removed accent from 'όν'. Converted digamma 'F' to lowercase 'f'.",place name
sa-sa-ma,σησαμη,,Multiple possible cognates. Removed accent from 'ά'. The Linear B 'sa-sa-ma' can correspond to either 'σασαμα' or 'σησαμη'.,sesame (plant)
se-re-mo-ka-ra-pi,σειρημοκαραφι,,First word from the pair. Removed accent from 'ί'.,(decorated) with heads of 'Sirens?'
se-re-mo-ka-ra-o-i,σειρημοκαραοι,,Second word from the pair. Removed accent from 'ί'.,(decorated) with heads of 'Sirens?'
se-re-mo-ka-ra-o-re,σειρημοκαραορει,,Third word from the pair. Removed accent from 'ί'.,(decorated) with heads of 'Sirens?'
se-ri-no,σελινον,,Removed accent from 'έ'. The Linear B 'se-ri-no' corresponds to Greek 'σελινον' (celery (plant)).,celery (plant)
se-to-i-ja,σητοια,,Removed accent from 'ί'. The Linear B 'se-to-i-ja' corresponds to Greek 'σητοια'.,place name
si-ha-ro,συς|συhαλος,,"The Linear B 'si-ha-ro' corresponds to Greek 'σιhαλος' (Pig). The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.",Pig
si-ja-du-we,σιγαδυfεις,,Removed accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,personal name
si-ma,σιμα,,The Linear B 'si-ma' corresponds to Greek 'σιμα' (Sima). Removed accent from 'ί'.,personal name(fem.)
si-ma-ko,σιμακος,,The Linear B 'si-ma-ko' corresponds to Greek 'σιμακος' (personal name).,personal name
si-mi-te-u,σμινθευς,,No changes needed. The Linear B 'si-mi-te-u' corresponds to Greek 'σμινθευς'.,personal name (>epithet of god Apollo)
si-no-u-ro,σινουρος,,The Linear B 'si-no-u-ro' corresponds to Greek 'σινουρος'. Removed accent from 'ί'.,personal name
si-ri-jo,σιριος,,First variant without the optional jo. Removed accent from 'ί'.,personal name
si-ri-jo-jo,σιριοιο,,Second variant with the optional jo. Removed accent from 'ί'.,personal name
si-to,σιτον,,No changes needed as it has no accents or special characters.,wheat
si-to-ko-wo,σιτοκορfοι,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,occupation associated with wheat (grain- measurers?)
si-to-po-ti-ni-ja,σιτοποτνια,,No changes needed as it has no accents or special characters.,goddess (= 'grain mistress')
so-u-ro,σουρος,,The Linear B 'so-u-ro' corresponds to Greek 'σουρος' (personal name). Removed accent from 'ού'.,personal name
so-we-no,σοfενοι|σοfενος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,vine? (plant)
su-di-ni-ko,συδνικος,,Removed accent from 'ύ'.,personal name
su-ki-ri-ta,συγριτα,,No changes needed as it has no accents or special characters.,place name
su-qo-ta,συβοτας,,First word from the pair. Removed accent from 'ό'.,pig farmer
su-qo-ta-o,συβοτας,,Second word from the pair. Removed accent from 'ό'.,pig farmer
su-ri-mo,συριμος,,No changes needed as it has no accents or special characters.,place name
su-ro,συρος,,First word from the pair. Removed accent from 'ύ'.,"personal name su-we-ro-wi-jo,ΣυFερόFιος,Syverovios,personal/ ethnicname"
su-ro-no,συρος,,Second word from the pair. Removed accent from 'ύ'.,"personal name su-we-ro-wi-jo,ΣυFερόFιος,Syverovios,personal/ ethnicname"
su-za,συκα,,Removed accent from 'ύ'. The Linear B 'su-za' corresponds to Greek 'συζα' and 'συκα'.,fig fruits
ta-mi-je-u,ταμιευς,,No changes needed as it has no accents or special characters.,personal name
ta-ni-ko,τανιχος,,No changes needed as it has no accents or special characters.,personal name
ta-pa,ταρφα,,No changes needed.,thick/close/ frequent
ta-pa-e-o-te,ταρφαεοντες,,Removed accent from 'έ'.,(έοντες= they being) (see also tarpha)
ta-ra-ma-ta,θαλαματας,,First word from the pair. No changes needed as it has no accents or special characters.,personal name
ta-ra-ma-ta-o,θαλαματας,,Second word from the pair. No changes needed as it has no accents or special characters.,personal name
ta-ra-mi-ka,θαλαμικα|θαλαμισκα,,No modifications needed. The Linear B 'ta-ra-mi-ka' corresponds to Greek 'θαλαμικα' and 'θαλαμισκα'.,personal name
ta-ra-nu,θρηνυς,,First word from the pair. Removed accent from 'ά'.,footstool
ta-ra-nu-we,θρηνυfες,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,footstool
ta-ra-si-ja,ταλανσια,,No modifications needed. The Linear B 'ta-ra-si-ja' corresponds to Greek 'ταλανσια'.,(unit of) copper
ta-su,θαρσυς,,No changes needed as it has no accents or special characters.,"personal name (θάρσος= courage, confidence)"
ta-ta-ke-u,στρατηγος,,Removed accents from 'ύ'. Included both cognates 'σταρταγευς' and 'στρατηγος'.,leader of the army
ta-ta-ro,τανταλος,,Removed accent from 'ά'.,personal name
ta-te-re,στατηρες,,Removed accent from 'έ'.,(>στατήρ= weight/coin)
ta-ti-qo-we-u,στατιποfευς,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,personal name
ta-ti-qo-we-wo,στατιποfευς,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,personal name
ta-to-mo,σταθμος,,No changes needed as it has no accents or special characters.,farmstead/ standing-post
te-ke,θηκε|θετω,,No modification needed as it has no accents or special characters. Includes both possible cognates.,he assigned
te-ko-to-ne,τεκτονες,,No changes needed as it has no accents or special characters.,carpenters
te-me-no,τεμενος,,"Removed accent from 'έ'. The Linear B 'te-me-no' corresponds to Greek 'τεμενος' (shrine, official/ religious place).","shrine, official/ religious place"
te-mi-de-we-te,τερμιδfεντες|τερμιοεντες,,First word from the list. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,(= reaching to the feet) (see also 'termis')
